OBJECTID,Structure,Type,Long,Lat
207,Splice Box,CL s/w box (small),-123.368130119737,48.4311138281868
208,Junction Box,CL above grd junction box,-123.367334343599,48.4309802086931
209,Splice Box,CL s/w box (large),-123.367289667736,48.431159580785
210,Light or Signal Pole,Light/signal pole,-123.367290119824,48.431162850495
211,Light or Signal Pole,Merc street lamp,-123.367302686917,48.4314714952139
212,Light or Signal Pole,City pole,-123.366966637342,48.4303078582516
213,Junction Box,CL above grd junction box,-123.366966588469,48.4303230500123
214,Splice Box,CL s/w box (small),-123.36717980104,48.4361255898654
215,Splice Box,CL s/w box (small),-123.367183594531,48.4363927662329
216,Splice Box,CL s/w box (small),-123.368978748378,48.43598625213
217,Splice Box,CL s/w box (small),-123.368892641889,48.4359491867119
218,Splice Box,CL s/w box (small),-123.369209437096,48.435965328211
219,Splice Box,CL s/w box (small),-123.369121279936,48.435842959454
220,Splice Box,CL s/w box (small),-123.368833818381,48.435828873978
221,Light or Signal Pole,Merc street lamp,-123.361928756531,48.4312236317618
222,Light or Signal Pole,Merc street lamp,-123.361793342089,48.4314979573089
223,Light or Signal Pole,Merc street lamp,-123.361548659484,48.4301590447763
224,Light or Signal Pole,Merc street lamp,-123.361428858515,48.4314102826629
225,Splice Box,CL s/w box (small),-123.35865197917,48.431202818241
226,Splice Box,CL s/w box (small),-123.367421427286,48.4344453595254
227,Splice Box,CL s/w box (small),-123.368249825626,48.4357571324445
228,Manhole,City light manhole 0.8m,-123.367363685756,48.4357395559585
229,Splice Box,CL s/w box (small),-123.367437430142,48.4354989879306
230,Splice Box,CL s/w box (large),-123.367526373042,48.4356781274498
231,Splice Box,CL s/w box (small),-123.367559557959,48.4356903648684
232,Splice Box,CL s/w box (small),-123.36708493431,48.4331887079803
233,Light or Signal Pole,Merc street lamp,-123.365254222137,48.4301714399823
234,Splice Box,CL s/w box (small),-123.358613893978,48.4314805688127
235,Manhole,City light manhole 0.8m,-123.367247275528,48.4328955493093
236,Light or Signal Pole,Merc street lamp,-123.358867121307,48.4317340033761
237,Splice Box,CL s/w box (small),-123.358569952954,48.431819595151
238,Splice Box,CL s/w box (small),-123.358604798842,48.4315557804664
239,Light or Signal Pole,Merc street lamp,-123.367567438206,48.4356754755743
240,Splice Box,CL s/w box (small),-123.367071226045,48.4328207544189
241,Splice Box,CL s/w box (small),-123.367056316906,48.4324825868878
242,Light or Signal Pole,Signal standard,-123.364370116761,48.4309873635668
243,Light or Signal Pole,Merc street lamp,-123.364378278444,48.4312114421474
244,Cluster Lamp,Cluster lights (crossed),-123.364386308433,48.4314097010003
245,Light or Signal Pole,Merc street lamp,-123.364744501599,48.4311588301351
246,Splice Box,CL s/w box (small),-123.367095844035,48.4334491878358
247,Splice Box,CL s/w box (small),-123.364624470361,48.4300079152198
248,Ornamental Lamp,Ornamental lamp std,-123.364633488406,48.4300555495804
249,Splice Box,CL s/w box (small),-123.364639621707,48.4300848544721
250,Splice Box,CL s/w box (small),-123.364347797554,48.4303729904249
251,Light or Signal Pole,Merc street lamp,-123.361584146794,48.4300280874193
252,Splice Box,CL s/w box (small),-123.361625902893,48.429997278097
253,Splice Box,CL s/w box (small),-123.361628797336,48.4299765229404
254,Light or Signal Pole,Merc street lamp,-123.361629550122,48.4299721122622
255,Light or Signal Pole,Merc street lamp,-123.361574939931,48.4302277671139
256,Splice Box,CL s/w box (small),-123.361597941132,48.4302153156627
257,Splice Box,CL s/w box (large),-123.361586590984,48.4301512507792
258,Splice Box,CL s/w box (small),-123.361572361186,48.4301710347906
259,Light or Signal Pole,Merc street lamp,-123.361953999509,48.4304217987548
260,Splice Box,CL s/w box (small),-123.362080378127,48.4301588370279
261,Splice Box,CL s/w box (small),-123.361968331817,48.4303842830518
262,Light or Signal Pole,Merc street lamp,-123.362063818587,48.4303546272592
263,Splice Box,CL s/w box (small),-123.362070617175,48.4303525537799
264,Light or Signal Pole,Merc street lamp,-123.361994367127,48.430087423578
265,Splice Box,CL s/w box (small),-123.361992959866,48.4301234142472
266,Splice Box,CL s/w box (large),-123.361981274297,48.4301473728177
267,Splice Box,CL s/w box (small),-123.358521342712,48.4321827737467
268,Splice Box,CL s/w box (large),-123.358509618059,48.4323441616994
269,Splice Box,CL s/w box (small),-123.358574341982,48.4331628557432
270,Signal Kiosk,Signal kiosk,-123.35843879326,48.4328328807301
271,Light or Signal Pole,Signal standard,-123.358398851751,48.4331801983019
272,Splice Box,CL s/w box (small),-123.358389880936,48.4331802765855
273,Splice Box,CL s/w box (small),-123.358581363796,48.4331457341358
274,Splice Box,CL s/w box (small),-123.358154407559,48.4334796574098
275,Ornamental Lamp,Ornamental lamp std,-123.357920194633,48.4334052869023
276,Ornamental Lamp,Ornamental lamp std,-123.357914223341,48.4334500364332
277,Ornamental Lamp,Ornamental lamp std,-123.357905190588,48.4335170521055
278,Ornamental Lamp,Ornamental lamp std,-123.357899354686,48.4335620261281
279,Light or Signal Pole,Merc street lamp,-123.357884157686,48.4332850518593
280,Splice Box,CL s/w box (small),-123.358223020484,48.4330081698291
